clubName,colors,worldRanking,leagueName
Manchester United,Red,9,English Premier League
Manchester City,Blue,27,English Premier League
Tottenham Hotspur,White,32,English Premier League
Watford FC,Yellow,254,English Premier League
Chelsea FC,Blue,38,English Premier League
Arsenal FC,Red & White,29,English Premier League
Burnley FC,Burgundy & Blue,233,English Premier League
Liverpool FC,Red,79,English Premier League
Newcastle United,Black & White,68,English Premier League
West Bromwich Albion,Blue & White,209,English Premier League
Southampton FC,Red & White,148,English Premier League
Huddersfield Town,Blue & White,907,English Premier League
Swansea City,White,225,English Premier League
Brighton & Hove Albion,Blue & White,301,English Premier League
West Ham United,Burgundy & Blue,199,English Premier League
Everton FC,Blue,120,English Premier League
Stoke City,Red & White,220,English Premier League
Leicester City,Blue,66,English Premier League
AFC Bournemouth,Red & Black,217,English Premier League
Crystal Palace,Red & Blue,224,English Premier League
FC Barcelona,Red & Blue,2,La Liga Primera Division
Valencia CF,Black & White,112,La Liga Primera Division
Real Madrid,White,1,La Liga Primera Division
Atletico Madrid,Red & White,3,La Liga Primera Division
Sevilla FC,White,14,La Liga Primera Division
CD Leganes,Blue & White,174,La Liga Primera Division
Real Sociedad,Blue & White,49,La Liga Primera Division
Villarreal CF,Yellow,23,La Liga Primera Division
Real Betis,Green & White,155,La Liga Primera Division
Celta Vigo,Blue,15,La Liga Primera Division
Athletic Bilbao,Red & White,24,La Liga Primera Division
Levante UD,Red & Blue,63,La Liga Primera Division
Espanyol Barcelona,Blue & White,73,La Liga Primera Division
Getafe CF,Blue,302,La Liga Primera Division
Deportivo La Coruna,Blue & White,156,La Liga Primera Division
SD Eibar,Red & Blue,65,La Liga Primera Division
Girona FC,Red & White,303,La Liga Primera Division
UD Las Palmas,Yellow,133,La Liga Primera Division
CD Alaves,Blue & White,50,La Liga Primera Division
Malaga CF,Blue & White,111,La Liga Primera Division
Toronto FC,Red,297,Major League Soccer
New York City FC,Blue,449,Major League Soccer
Chicago Fire,Red,464,Major League Soccer
Atlanta United FC,Red & Black,633,Major League Soccer
Columbus Crew,Yellow & Black,488,Major League Soccer
New York Red Bulls,Red & White,190,Major League Soccer
New England Revolution,Red & White & Blue,477,Major League Soccer
Montreal Impact,Blue & Black,481,Major League Soccer
Philadelphia Union,Blue & Gold,582,Major League Soccer
Orlando City SC,Purple,528,Major League Soccer
D.C. United,Black,533,Major League Soccer
Vancouver Whitecaps,Blue & White,168,Major League Soccer
Portland Timbers,Green,300,Major League Soccer
Seattle Sounders FC,Green & Blue,309,Major League Soccer
Sporting Kansas City,Blue & White,333,Major League Soccer
Houston Dynamo,Orange & White,468,Major League Soccer
San Jose Earthquakes,Blue & Black,535,Major League Soccer
FC Dallas,Red,152,Major League Soccer
Real Salt Lake,Red,560,Major League Soccer
Minnesota United FC,Blue & Gray,722,Major League Soccer
Colorado Rapids,Burgundy & White,553,Major League Soccer
L.A. Galaxy,White,461,Major League Soccer
